sequence_id,length,variant,selected_for_simulation,selected_for_hardware,num_variables,num_quadratic_terms
synth_000245,16,postprocessed,True,False,12,0
synth_000222,16,strict,True,False,13,66
synth_000222,16,relaxed,True,False,13,51
synth_000222,16,postprocessed,True,False,13,0
synth_000237,16,strict,True,False,13,65
synth_000237,16,relaxed,True,False,13,65
synth_000237,16,postprocessed,True,False,13,0
synth_000209,16,strict,True,False,14,85
synth_000209,16,relaxed,True,False,14,75
synth_000209,16,postprocessed,True,False,14,0
synth_000281,18,strict,True,False,2,1
synth_000281,18,relaxed,True,False,2,1
synth_000281,18,postprocessed,True,False,2,0
synth_000284,18,strict,True,False,2,1
synth_000284,18,relaxed,True,False,2,0
synth_000284,18,postprocessed,True,False,2,0
synth_000283,18,strict,True,False,4,6
synth_000283,18,relaxed,True,False,4,6
synth_000283,18,postprocessed,True,False,4,0
synth_000291,18,strict,True,False,6,14
synth_000291,18,relaxed,True,False,6,10
synth_000291,18,postprocessed,True,False,6,0
synth_000260,18,strict,True,False,7,21
synth_000260,18,relaxed,True,False,7,20
synth_000260,18,postprocessed,True,False,7,0
synth_000285,18,strict,True,False,8,26
synth_000285,18,relaxed,True,False,8,22
synth_000285,18,postprocessed,True,False,8,0
synth_000259,18,strict,True,False,9,35
synth_000259,18,relaxed,True,False,9,26
synth_000259,18,postprocessed,True,False,9,0
synth_000265,18,strict,True,False,9,30
synth_000265,18,relaxed,True,False,9,27
synth_000265,18,postprocessed,True,False,9,0
synth_000253,18,strict,True,False,10,39
synth_000253,18,relaxed,True,False,10,24
synth_000253,18,postprocessed,True,False,10,0
synth_000274,18,strict,True,False,10,44
synth_000274,18,relaxed,True,False,10,42
synth_000274,18,postprocessed,True,False,10,0
synth_000294,18,strict,True,False,10,45
synth_000294,18,relaxed,True,False,10,31
synth_000294,18,postprocessed,True,False,10,0
synth_000300,18,strict,True,False,10,42
synth_000300,18,relaxed,True,False,10,26
synth_000300,18,postprocessed,True,False,10,0
synth_000290,18,strict,True,False,11,49
synth_000290,18,relaxed,True,False,11,33
synth_000290,18,postprocessed,True,False,11,0
synth_000296,18,strict,True,False,11,54
synth_000296,18,relaxed,True,False,11,52
synth_000296,18,postprocessed,True,False,11,0
synth_000268,18,strict,True,False,12,61
synth_000268,18,relaxed,True,False,12,41
synth_000268,18,postprocessed,True,False,12,0
synth_000275,18,strict,True,False,12,66
synth_000275,18,relaxed,True,False,12,42
synth_000275,18,postprocessed,True,False,12,0
synth_000254,18,strict,True,False,13,76
synth_000254,18,relaxed,True,False,13,50
synth_000254,18,postprocessed,True,False,13,0
synth_000287,18,strict,True,False,13,66
synth_000287,18,relaxed,True,False,13,51
synth_000287,18,postprocessed,True,False,13,0
synth_000255,18,strict,True,False,14,80
synth_000255,18,relaxed,True,False,14,75
synth_000255,18,postprocessed,True,False,14,0
synth_000280,18,strict,True,False,14,80
synth_000280,18,relaxed,True,False,14,55
synth_000280,18,postprocessed,True,False,14,0
synth_000252,18,strict,True,False,15,100
synth_000252,18,relaxed,True,False,15,89
synth_000252,18,postprocessed,True,False,15,0
synth_000256,18,strict,True,False,15,87
synth_000256,18,relaxed,True,False,15,57
synth_000256,18,postprocessed,True,False,15,0
synth_000269,18,strict,True,False,15,101
synth_000269,18,relaxed,True,False,15,90
synth_000269,18,postprocessed,True,False,15,0
synth_000266,18,strict,True,False,16,110
synth_000266,18,relaxed,True,False,16,88
synth_000266,18,postprocessed,True,False,16,0
synth_000282,18,strict,True,False,16,81
synth_000282,18,relaxed,True,False,16,69
synth_000282,18,postprocessed,True,False,16,0
synth_000292,18,strict,True,False,16,110
synth_000292,18,relaxed,True,False,16,79
synth_000292,18,postprocessed,True,False,16,0
synth_000299,18,strict,True,False,16,99
synth_000299,18,relaxed,True,False,16,89
synth_000299,18,postprocessed,True,False,16,0
synth_000289,18,strict,True,False,17,130
synth_000289,18,relaxed,True,False,17,106
