length,variant,backend_mode,backend_name,num_sequences,num_sequence_runs,mean_energy_gap,std_energy_gap,mean_pair_f1,std_pair_f1,mean_weighted_raw_validity,std_weighted_raw_validity,mean_weighted_stems_removed,std_weighted_stems_removed,mean_retained_probability_mass,std_retained_probability_mass,mean_num_variables,std_num_variables,mean_num_quadratic_terms,std_num_quadratic_terms,mean_num_qubits,std_num_qubits,mean_circuit_depth,std_circuit_depth,mean_sampling_seconds,std_sampling_seconds
20,strict,aer,aer_simulator,30,30,0.10000000794728597,0.4927054186516449,0.9582010582010583,0.18386082594632808,0.22403971354166666,0.3061052275048053,2.393782552083333,1.5917934803381448,1.0,0.0,11.933333333333334,4.494696747342886,67.2,44.526938765898436,11.933333333333334,4.494696747342886,24.333333333333332,9.007021526654036,0.04149345739998955,0.06013779248277758
10,postprocessed,ibm,ibm_quebec,15,15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0
15,postprocessed,ibm,ibm_quebec,15,15,1.3600000207622847,1.6128059309458371,0.4666666666666667,0.5163977794943222,0.14072265625,0.3499282977558332,3.38203125,1.8981555888632804,1.0,0.0,4.866666666666666,2.065591117977289,0.0,0.0,4.866666666666666,2.065591117977289,6.0,0.0,3.0,0.0
20,postprocessed,ibm,ibm_quebec,15,15,0.6933333491285641,1.038863843807058,0.6275132275132276,0.46772007946027583,0.00078125,0.0030257682392245445,6.201399739583334,2.4498946316436574,1.0,0.0,8.133333333333333,2.748159557300294,0.0,0.0,8.133333333333333,2.748159557300294,6.0,0.0,3.0,0.0
25,postprocessed,ibm,ibm_quebec,15,15,1.086666672428449,1.7328204317143552,0.6214285714285714,0.4702908348966149,0.0,0.0,17.304752604166666,5.752239081193548,1.0,0.0,22.6,7.744122195021756,0.0,0.0,22.6,7.744122195021756,6.0,0.0,3.0,0.0
30,postprocessed,ibm,ibm_quebec,15,15,0.8333333551883697,1.0880301131020347,0.651010101010101,0.4214353898702155,0.0064453125,0.02496258797360249,22.435384114583332,10.804264650469209,1.0,0.0,30.4,15.296124625911903,0.0,0.0,30.4,15.296124625911903,6.0,0.0,3.0,0.0
35,postprocessed,ibm,ibm_quebec,15,15,1.7800000031789145,2.1267682115205955,0.6177644577644578,0.3736026367126391,0.0,0.0,42.00777994791667,11.858874422557898,1.0,0.0,55.666666666666664,16.399767710317757,0.0,0.0,55.666666666666664,16.399767710317757,6.0,0.0,3.0,0.0
37,postprocessed,ibm,ibm_quebec,15,15,2.393333347638448,1.691772823006543,0.42904040404040406,0.3932792573615433,0.0,0.0,56.40126953125,12.6965303467528,1.0,0.0,75.4,16.443843832875572,0.0,0.0,75.4,16.443843832875572,6.0,0.0,3.0,0.0
40,postprocessed,ibm,ibm_quebec,15,15,1.2800000538428624,1.1270695702653768,0.6391758808786673,0.3815662426266873,0.0,0.0,50.899576822916664,12.616365576766034,1.0,0.0,65.0,16.716117115782936,0.0,0.0,65.0,16.716117115782936,6.0,0.0,3.0,0.0
41,postprocessed,ibm,ibm_quebec,15,15,2.1399999712904294,1.7666756774181773,0.5059739280327515,0.4304435522496717,0.0,0.0,77.43225911458333,11.801003611137025,1.0,0.0,101.8,16.21375077783405,0.0,0.0,101.8,16.21375077783405,6.0,0.0,3.0,0.0
42,postprocessed,ibm,ibm_quebec,15,15,1.9933333272735279,1.7173346451765152,0.5507078289861975,0.4219603520872073,0.0,0.0,91.98287760416666,6.652372863277457,1.0,0.0,122.26666666666667,10.606377237079496,0.0,0.0,122.26666666666667,10.606377237079496,6.0,0.0,3.0,0.0
43,postprocessed,ibm,ibm_quebec,15,15,1.6866666932900747,1.7553456104789882,0.44478963302492713,0.412887947552098,0.0,0.0,77.03580729166667,19.678996271263966,1.0,0.0,101.4,26.90406235921578,0.0,0.0,101.4,26.90406235921578,6.0,0.0,3.0,0.0
44,postprocessed,ibm,ibm_quebec,15,15,1.7599999765555063,1.993489386766375,0.7264725733577531,0.36574972902200903,0.0,0.0,92.95592447916667,17.911628472196192,1.0,0.0,122.13333333333334,24.985329028585287,0.0,0.0,122.13333333333334,24.985329028585287,6.0,0.0,3.0,0.0
10,relaxed,ibm,ibm_quebec,15,15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0
15,relaxed,ibm,ibm_quebec,15,15,0.0,0.0,1.0,0.0,0.26617838541666666,0.3432629524327133,1.5350911458333334,0.8968301906503118,1.0,0.0,4.866666666666666,2.065591117977289,8.4,5.852960179015645,4.866666666666666,2.065591117977289,74.73333333333333,46.10309358486953,3.0,0.0
20,relaxed,ibm,ibm_quebec,15,15,0.020000012715657545,0.05606121657511136,0.9830687830687831,0.045082345828869407,0.28053385416666665,0.2980537170451418,1.8310546875,1.2364155216099773,1.0,0.0,8.133333333333333,2.748159557300294,23.266666666666666,12.521220083560243,8.133333333333333,2.748159557300294,172.86666666666667,81.4053935267074,3.0,0.0
25,relaxed,ibm,ibm_quebec,15,15,0.11333334048589071,0.4389381402719095,0.9925925925925926,0.02868876552746233,0.006705729166666666,0.017780858541156325,8.18486328125,3.6101384333963598,1.0,0.0,22.6,7.744122195021756,166.53333333333333,98.9934100740814,22.6,7.744122195021756,778.1333333333333,394.1252278630426,3.0,0.0
30,relaxed,ibm,ibm_quebec,15,15,0.3733333349227905,0.9888425050117408,0.8410774410774411,0.3492727289141772,0.03479817708333333,0.13128274349142707,11.35322265625,6.5256182020177205,1.0,0.0,30.4,15.296124625911903,321.3333333333333,305.3271469533403,30.4,15.296124625911903,1271.6,951.8766276601785,3.0,0.0
35,relaxed,ibm,ibm_quebec,15,15,0.2266666571299235,0.7741047033159518,0.8497354497354498,0.3478569406569047,0.0,0.0,21.143489583333334,6.208129313412302,1.0,0.0,55.666666666666664,16.399767710317757,824.9333333333333,453.9391819973034,55.666666666666664,16.399767710317757,2886.266666666667,1365.664383925937,3.0,0.0
37,relaxed,ibm,ibm_quebec,15,15,0.5200000325838725,1.1533801502372147,0.7432780291603821,0.39365491498141586,0.0,0.0,27.66474609375,5.11324080330808,1.0,0.0,75.4,16.443843832875572,1376.2666666666667,510.2389449585174,75.4,16.443843832875572,4690.133333333333,1650.229112520296,3.0,0.0
40,relaxed,ibm,ibm_quebec,15,15,0.8200000365575154,1.1718118083373983,0.6860317460317461,0.4469109563126194,0.0,0.0,24.058268229166668,5.958304475008766,1.0,0.0,65.0,16.716117115782936,990.6666666666666,438.60911114676173,65.0,16.716117115782936,3623.2,1376.9474105529853,3.0,0.0
41,relaxed,ibm,ibm_quebec,15,15,0.8199999888737997,1.2119641409550752,0.6566500166500168,0.4339893188342467,0.0,0.0,35.46324869791667,5.198200353217589,1.0,0.0,101.8,16.21375077783405,2248.0,712.2469475439782,101.8,16.21375077783405,7327.466666666666,1981.6192825445512,3.066666666666667,0.2581988897471611
42,relaxed,ibm,ibm_quebec,15,15,0.5399999777475993,0.9108865326483478,0.7479477124183006,0.3682384999298638,0.0,0.0,40.80660807291667,3.917938742889243,1.0,0.0,122.26666666666667,10.606377237079496,3147.0,819.0047095625973,122.26666666666667,10.606377237079496,9812.733333333334,1642.531037613539,3.6,0.50709255283711
43,relaxed,ibm,ibm_quebec,15,15,0.846666685740153,0.8634372592144557,0.46903205726735137,0.42011005433938625,0.0,0.0,34.986653645833336,8.048858452449526,1.0,0.0,101.4,26.90406235921578,2323.4,1037.5982431971029,101.4,26.90406235921578,7467.4,2948.8904160233365,3.3333333333333335,0.48795003647426644
44,relaxed,ibm,ibm_quebec,15,15,0.5933333198229472,1.0173260824039232,0.8443868509657982,0.3093806763966122,0.0,0.0,40.44241536458333,7.789464230373167,1.0,0.0,122.13333333333334,24.985329028585287,3053.733333333333,981.9884685580336,122.13333333333334,24.985329028585287,9723.333333333334,2789.2894299103355,3.6666666666666665,0.4879500364742666
10,strict,ibm,ibm_quebec,15,15,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0
15,strict,ibm,ibm_quebec,15,15,0.0,0.0,1.0,0.0,0.37652994791666666,0.2892322920417714,1.3183919270833333,0.7583902814712455,1.0,0.0,4.866666666666666,2.065591117977289,10.733333333333333,7.166057559940539,4.866666666666666,2.065591117977289,84.33333333333333,48.61608591324285,2.933333333333333,0.2581988897471611
20,strict,ibm,ibm_quebec,15,15,0.020000012715657545,0.05606121657511136,0.9830687830687831,0.045082345828869407,0.2853515625,0.2985823331915783,1.81904296875,1.1155571992138082,1.0,0.0,8.133333333333333,2.748159557300294,29.4,16.065935569218674,8.133333333333333,2.748159557300294,206.93333333333334,104.81375773019403,3.0,0.0
25,strict,ibm,ibm_quebec,15,15,0.16666667461395263,0.471572875556656,0.9259259259259259,0.2577431102395471,0.020768229166666666,0.05289136873328599,9.228092447916667,4.380415207595735,1.0,0.0,22.6,7.744122195021756,224.53333333333333,130.77618102624623,22.6,7.744122195021756,875.8666666666667,386.3700791925251,3.0,0.0
30,strict,ibm,ibm_quebec,15,15,0.3733333349227905,0.9888425050117408,0.8410774410774411,0.3492727289141772,0.049479166666666664,0.1606390893201864,13.085807291666667,7.925353864465634,1.0,0.0,30.4,15.296124625911903,438.6666666666667,388.36261896521887,30.4,15.296124625911903,1423.3333333333333,922.0621815618873,3.0,0.0
35,strict,ibm,ibm_quebec,15,15,0.2333333174387614,0.7724420140549136,0.8497354497354498,0.3478569406569047,0.0,0.0,24.471256510416666,7.116254747769873,1.0,0.0,55.666666666666664,16.399767710317757,1214.7333333333333,658.0213269086852,55.666666666666664,16.399767710317757,3437.9333333333334,1372.0855589038101,3.0,0.0
37,strict,ibm,ibm_quebec,15,15,0.8200000325838724,1.3691499206339368,0.7051420910244439,0.37895207724197577,0.0,0.0,31.80849609375,5.285016233973775,1.0,0.0,75.4,16.443843832875572,2174.4666666666667,814.6281243318211,75.4,16.443843832875572,5907.4,2178.552035510874,3.1333333333333333,0.3518657752744984
40,strict,ibm,ibm_quebec,15,15,0.8600000222524007,1.2170221411659747,0.6288888888888889,0.4772385292038078,0.0,0.0,27.808268229166668,6.233874080396026,1.0,0.0,65.0,16.716117115782936,1550.8,778.6992083872034,65.0,16.716117115782936,4589.266666666666,2103.041520773006,3.0,0.0
41,strict,ibm,ibm_quebec,15,15,0.7399999777475993,1.371026694745137,0.7366500166500167,0.4004367405106354,0.0,0.0,40.63570963541667,5.638417280155971,1.0,0.0,101.8,16.21375077783405,3626.266666666667,1155.125192143176,101.8,16.21375077783405,9137.866666666667,2407.7172611259425,3.533333333333333,0.5163977794943222
42,strict,ibm,ibm_quebec,15,15,0.5599999904632569,0.8757038078423788,0.7452757756594074,0.3644442430766588,0.0,0.0,46.058919270833336,3.9635610683208116,1.0,0.0,122.26666666666667,10.606377237079496,5005.066666666667,974.4979268955937,122.26666666666667,10.606377237079496,12868.266666666666,1906.8349417917889,4.0,0.0
43,strict,ibm,ibm_quebec,15,15,0.7600000063578288,0.7826694941583003,0.5845082477435419,0.39154738557538626,0.0,0.0,40.56077473958333,9.6151246769895,1.0,0.0,101.4,26.90406235921578,3689.9333333333334,1647.8150237150264,101.4,26.90406235921578,9422.8,3753.3710600319964,3.6,0.50709255283711
44,strict,ibm,ibm_quebec,15,15,0.6933332761128743,1.6232535249179005,0.9220760233918129,0.17694929664808795,0.0,0.0,46.19248046875,8.938997056026942,1.0,0.0,122.13333333333334,24.985329028585287,5020.4,1536.7294956683636,122.13333333333334,24.985329028585287,12806.0,3646.887812133205,3.933333333333333,0.2581988897471611
